"Index","x1","x2","x3","x4","y"
2016-03-15 13:34:00,750,615,415.5,2162,2032
2016-03-15 13:35:00,748.5,615,415,2162,2030
2016-03-15 13:36:00,749,615,415.5,2164,2030
2016-03-15 13:37:00,750,615,415.5,2165,2031
2016-03-15 13:38:00,750,615.5,416,2167,2031
2016-03-15 13:39:00,749.5,615.5,415.5,2166,2030
2016-03-15 13:40:00,748.5,615,415.5,2165,2030
2016-03-15 13:41:00,749,615.5,415.5,2165,2028
2016-03-15 13:42:00,749,614.5,415.5,2164,2027
2016-03-15 13:43:00,748.5,615,415,2160,2025
2016-03-15 13:44:00,748.5,615.5,415.5,2162,2029
2016-03-15 13:45:00,749.5,616.5,416,2162,2030
2016-03-15 13:46:00,750.5,617,417,2165,2032
2016-03-15 13:47:00,751,617,417,2165,2033
2016-03-15 13:48:00,751,617,417.5,2165,2033
2016-03-15 13:49:00,750,616,416.5,2165,2031
2016-03-15 13:50:00,750,616,416.5,2164,2031
2016-03-15 13:51:00,750,616,417,2167,2032
2016-03-15 13:52:00,749.5,616,416.5,2164,2029
2016-03-15 13:53:00,750,616,416.5,2166,2031
2016-03-15 13:54:00,749.5,616.5,417,2166,2031
2016-03-15 13:55:00,750,617,417,2166,2033
2016-03-15 13:56:00,750.5,617,417.5,2166,2033
2016-03-15 13:57:00,750.5,617,418,2172,2034
2016-03-15 13:58:00,749.5,616.5,417,2171,2032
2016-03-15 13:59:00,748.5,615.5,416.5,2169,2031
2016-03-15 14:00:00,748.5,616,416,2169,2030
2016-03-15 14:01:00,748.5,616,416.5,2168,2031
2016-03-15 14:02:00,748.5,616,417,2166,2032
2016-03-15 14:03:00,748.5,616,417,2166,2032
2016-03-15 14:04:00,747.5,615,415.5,2164,2027
2016-03-15 14:05:00,747,614.5,415,2157,2026
2016-03-15 14:06:00,746.5,615,415.5,2157,2026
2016-03-15 14:07:00,745,614.5,414.5,2153,2023
2016-03-15 14:08:00,746,614,414.5,2155,2023
2016-03-15 14:09:00,746,614.5,414,2155,2023
2016-03-15 14:10:00,745.5,614,413.5,2153,2021
2016-03-15 14:11:00,745.5,614,414,2153,2019
2016-03-15 14:12:00,747,615.5,415,2154,2019
2016-03-15 14:13:00,746.5,615.5,414.5,2153,2018
2016-03-15 14:14:00,748,616.5,416,2157,2025
2016-03-15 14:15:00,748.5,616,416.5,2156,2023
2016-03-15 14:16:00,747.5,616,416.5,2159,2024
2016-03-15 14:17:00,747.5,615.5,415.5,2158,2024
2016-03-15 14:18:00,747,615,415.5,2157,2024
2016-03-15 14:19:00,747,615.5,415.5,2154,2022
2016-03-15 14:20:00,747.5,616,416,2157,2024
2016-03-15 14:21:00,748,616.5,416,2159,2025
2016-03-15 14:22:00,747.5,616,415.5,2155,2023
2016-03-15 14:23:00,747,615.5,415,2155,2023
2016-03-15 14:24:00,747,615,415.5,2156,2022
2016-03-15 14:25:00,747.5,615,415.5,2158,2023
2016-03-15 14:26:00,747.5,615.5,415.5,2156,2022
2016-03-15 14:27:00,747.5,615,415.5,2155,2022
2016-03-15 14:28:00,746,614.5,414.5,2153,2017
2016-03-15 14:29:00,746,615,415,2155,2019
2016-03-15 14:30:00,746.5,614.5,414.5,2156,2022
2016-03-15 14:31:00,746,615,415,2156,2025
2016-03-15 14:32:00,746,614.5,415,2154,2022
2016-03-15 14:33:00,746.5,615,415,2155,2024
2016-03-15 14:34:00,746,614.5,414.5,2153,2023
2016-03-15 14:35:00,744.5,613.5,412,2149,2019
2016-03-15 14:36:00,745,614,412,2150,2020
2016-03-15 14:37:00,745.5,614.5,412.5,2150,2021
2016-03-15 14:38:00,747.5,616,415.5,2157,2029
2016-03-15 14:39:00,747,616,415.5,2158,2028
2016-03-15 14:40:00,746.5,615.5,415,2158,2027
2016-03-15 14:41:00,746.5,615.5,414,2157,2026
2016-03-15 14:42:00,746,615,413.5,2156,2026
2016-03-15 14:43:00,747,615,414.5,2159,2029
2016-03-15 14:44:00,746.5,616,414,2157,2027
2016-03-15 14:45:00,746.5,615,413.5,2157,2025
2016-03-15 14:46:00,745.5,614.5,412.5,2155,2023
2016-03-15 14:47:00,744.5,614,412.5,2156,2022
2016-03-15 14:48:00,744.5,612,412.5,2153,2017
2016-03-15 14:49:00,745,613,413.5,2154,2018
2016-03-15 14:50:00,744.5,612,412,2155,2019
2016-03-15 14:51:00,744,611,412,2155,2019
2016-03-15 14:52:00,744,611,412.5,2156,2020
2016-03-15 14:53:00,745,612.5,412.5,2157,2024
2016-03-15 14:54:00,743.5,611,411,2154,2021
2016-03-15 14:55:00,744.5,612,412.5,2157,2022
2016-03-15 14:56:00,744.5,612.5,412.5,2157,2021
2016-03-15 14:57:00,744.5,612.5,412,2156,2022
2016-03-15 14:58:00,744,612.5,412.5,2155,2019
2016-03-15 14:59:00,744.5,613,413,2156,2021
2016-03-15 15:00:00,744,612,413.5,2161,2021
