"Index","zn1.Close","zn2.Close"
2016-03-01 14:13:00,14025,14080
2016-03-01 14:14:00,14025,14085
2016-03-01 14:15:00,14035,14090
2016-03-01 14:16:00,14015,14075
2016-03-01 14:17:00,14020,14080
2016-03-01 14:18:00,14020,14075
2016-03-01 14:19:00,14030,14090
2016-03-01 14:20:00,14030,14090
2016-03-01 14:21:00,14025,14085
2016-03-01 14:22:00,14030,14085
2016-03-01 14:23:00,14030,14085
2016-03-01 14:24:00,14020,14085
2016-03-01 14:25:00,14025,14090
2016-03-01 14:26:00,14020,14080
2016-03-01 14:27:00,14035,14085
2016-03-01 14:28:00,14015,14075
2016-03-01 14:29:00,14020,14085
2016-03-01 14:30:00,14025,14085
2016-03-01 14:31:00,14040,14100
2016-03-01 14:32:00,14035,14095
2016-03-01 14:33:00,14035,14095
2016-03-01 14:34:00,14035,14090
2016-03-01 14:35:00,14025,14090
2016-03-01 14:36:00,14030,14095
2016-03-01 14:37:00,14035,14090
2016-03-01 14:38:00,14020,14085
2016-03-01 14:39:00,14025,14080
2016-03-01 14:40:00,14025,14080
2016-03-01 14:41:00,14015,14080
2016-03-01 14:42:00,14020,14080
2016-03-01 14:43:00,14030,14085
2016-03-01 14:44:00,14030,14090
2016-03-01 14:45:00,14035,14095
2016-03-01 14:46:00,14035,14095
2016-03-01 14:47:00,14035,14105
2016-03-01 14:48:00,14050,14110
2016-03-01 14:49:00,14060,14120
2016-03-01 14:50:00,14085,14140
2016-03-01 14:51:00,14085,14150
2016-03-01 14:52:00,14085,14145
2016-03-01 14:53:00,14090,14150
2016-03-01 14:54:00,14100,14160
2016-03-01 14:55:00,14095,14160
2016-03-01 14:56:00,14105,14165
2016-03-01 14:57:00,14095,14155
2016-03-01 14:58:00,14085,14150
2016-03-01 14:59:00,14090,14150
2016-03-01 15:00:00,14095,14150
